Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-05-29,82.5,85.5,82.5,84.05,83.78,54075.0,283.0,4530519.0,44073.0,81.5,3.0,1.55
2018-05-28,78.1,83.0,78.1,82.05,80.87,31785.0,286.0,2570487.0,18493.0,58.18,4.9,3.95
2018-05-25,78.75,79.05,76.6,77.6,77.76,89039.0,814.0,6923780.0,49323.0,55.39,2.45,-1.15
2018-05-24,79.0,79.5,75.7,78.7,77.71,61427.0,406.0,4773315.0,48852.0,79.53,3.8,-0.3
2018-05-23,79.95,80.0,78.5,78.9,79.02,27961.0,225.0,2209496.0,12126.0,43.37,1.5,-1.05
2018-05-22,80.5,81.0,79.35,79.85,80.0,25510.0,228.0,2040683.0,13403.0,52.54,1.65,-0.65
2018-05-21,81.5,81.6,79.65,80.8,80.53,18358.0,198.0,1478454.0,12636.0,68.83,1.95,-0.7
2018-05-18,84.65,85.45,81.45,81.8,83.06,24027.0,447.0,1995756.0,11626.0,48.39,4.0,-2.85
2018-05-17,81.1,84.85,80.75,84.0,83.19,27905.0,453.0,2321348.0,11847.0,42.45,4.1,2.9
2018-05-16,80.5,81.55,79.0,81.15,80.8,31915.0,454.0,2578711.0,22497.0,70.49,2.55,0.65
2018-05-15,82.2,84.6,80.3,80.55,82.33,47349.0,789.0,3898370.0,25799.0,54.49,4.3,-1.65
2018-05-14,81.25,82.0,79.95,81.5,80.1,1324399.0,1111.0,106090258.0,1259611.0,95.11,2.05,0.25
2018-05-11,81.9,82.05,80.25,81.1,81.12,42646.0,752.0,3459456.0,27914.0,65.46,1.8,-0.8
2018-05-10,84.05,85.0,80.5,80.9,82.92,41029.0,813.0,3402221.0,24519.0,59.76,4.5,-3.15
2018-05-09,84.45,85.0,83.6,84.5,84.52,41916.0,523.0,3542745.0,30051.0,71.69,1.4,0.05
2018-05-08,86.0,86.35,83.95,84.6,84.98,53285.0,887.0,4527966.0,18023.0,33.82,2.4,-1.4
2018-05-07,84.0,86.6,83.75,85.55,85.51,296136.0,2322.0,25323318.0,167601.0,56.6,2.85,1.55
2018-05-04,80.55,87.3,80.0,82.5,81.87,4687268.0,9386.0,383763399.0,3533544.0,75.39,7.3,1.95
2018-05-03,80.0,81.7,80.0,81.35,81.05,9376.0,290.0,759918.0,5911.0,63.04,1.7,1.35
2018-05-02,80.35,82.2,79.6,80.65,81.16,27210.0,641.0,2208488.0,19346.0,71.1,2.6,0.3
2018-04-30,79.7,81.5,79.55,79.6,80.43,24039.0,372.0,1933554.0,18151.0,75.51,1.95,-0.1
2018-04-27,82.0,82.0,79.25,79.75,79.91,97369.0,1255.0,7780405.0,58404.0,59.98,2.75,-2.25
2018-04-26,81.25,81.4,79.6,80.0,80.36,28785.0,465.0,2313121.0,20364.0,70.75,1.8,-1.25
2018-04-25,83.0,83.0,81.0,81.05,82.31,40851.0,860.0,3362642.0,22778.0,55.76,2.0,-1.95
2018-04-24,82.05,84.0,82.05,82.9,83.45,47565.0,213.0,3969432.0,40759.0,85.69,1.95,0.85
2018-04-23,82.7,84.75,82.55,82.85,83.35,9605.0,212.0,800609.0,4964.0,51.68,2.2,0.15
2018-04-20,87.9,87.9,83.25,83.7,85.01,55729.0,400.0,4737691.0,45282.0,81.25,4.65,-4.2
2018-04-19,84.5,85.1,84.15,84.85,84.89,11398.0,125.0,967538.0,10738.0,94.21,0.95,0.35
2018-04-18,83.85,84.9,83.65,83.95,84.05,5047.0,116.0,424219.0,3039.0,60.21,1.25,0.1
2018-04-17,84.0,86.0,83.7,84.25,84.18,11696.0,191.0,984577.0,7357.0,62.9,2.3,0.25
2018-04-16,83.7,84.9,83.0,84.25,83.87,7054.0,138.0,591596.0,2830.0,40.12,1.9,0.55
2018-04-13,84.5,85.1,83.75,84.15,84.29,6974.0,403.0,587839.0,4911.0,70.42,1.35,-0.35
2018-04-12,84.4,85.0,84.2,84.95,84.76,5479.0,651.0,464402.0,3942.0,71.95,0.8,0.55
2018-04-11,86.7,86.7,83.7,83.95,84.94,11421.0,285.0,970116.0,5292.0,46.34,3.0,-2.75
2018-04-10,85.5,86.0,84.5,84.95,85.28,20061.0,303.0,1710877.0,7879.0,39.28,1.5,-0.55
2018-04-09,89.3,89.3,83.55,84.8,85.27,48549.0,2817.0,4139669.0,18352.0,37.8,5.75,-4.5
2018-04-06,82.85,84.25,82.0,83.6,83.34,22806.0,1251.0,1900707.0,15672.0,68.72,2.25,0.75
2018-04-05,85.4,86.05,83.35,83.75,84.61,16789.0,253.0,1420537.0,11385.0,67.81,2.7,-1.65
2018-04-04,85.65,85.65,78.0,85.05,84.51,7358.0,163.0,621826.0,5354.0,72.76,7.65,-0.6
2018-04-03,83.85,85.35,83.85,84.95,84.91,9957.0,537.0,845404.0,7562.0,75.95,1.5,1.1
2018-04-02,85.3,85.65,84.55,84.65,85.04,3052.0,60.0,259544.0,1876.0,61.47,1.1,-0.65
2018-03-28,84.55,85.65,82.4,83.35,83.97,8383.0,127.0,703905.0,4617.0,55.08,3.25,-1.2
